"All of us, no matter who – if you’re successful you can look back and think, ""Hey, I didn’t get here by myself.""  - Hank Aaron"
"They (my parents) surrounded themselves and their children with good examples, and they expected us to learn from them.  - Hank Aaron"
Everybody must learn this lesson somewhere – that it cost something to be what you are.  - Shirley Abbott
The more alternatives the more difficult the choice.  - Abbé d'Allainval
A friend in power is a friend lost.  - Henry Adams
A teacher affects eternity: he can never tell where his influence stops.  - Henry Adams
Advertising is the mouthpiece of business.  - James Rowe Adams
"Abuse of words has been the great instrument of sophistry and chicanery, of party, faction and division of society.  - John Adams"
"As much as I converse with sages and heroes, they have very little of my love and admiration.  I long for rural and domestic scene, for the warbling of birds and the prattling of my children.  - John Adams"
"Democracy...while it lasts is more bloody than either aristocracy or monarchy.  Remember, democracy never lasts long.  It soon wastes, exhausts, and murders itself.  There is never a democracy that did not commit suicide.  - John Adams"
Fear is the foundation of most governments.  - John Adams
I must study politics and war that my sons may have liberty to study mathematics and philosophy.  - John Adams
In politics the middle way is none at all.  - John Adams
"It is religion and morality alone, which can establish the principles upon which freedom can securely stand.  - John Adams"
Liberty cannot be preserved without general knowledge among the people.  - John Adams
"Liberty must at all hazards be supported.  We have a right to it, derived from our Maker.  But if we had not, our fathers earned and bought it for us, at the expense of their ease, their estates, their pleasure and their blood.  - John Adams"
My country as contrived for me the most insignificant office (the presidency) that ever the invention of man contrived or his imagination conceived.  - John Adams
Our Constitution was made only for a moral and religious people.  It is wholly inadequate to the government of any other.  - John Adams
Power always thinks it has a great soul and vast views beyond the comprehension of the weak.  - John Adams
Power always thinks...that it is God's service when it is violating all His laws.  - John Adams
Property is surely a right of mankind as real as liberty.  - John Adams
The essence of a free government consists in an effectual control of rivalries.  - John Adams
The happiness of society is the end of government.  - John Adams
There is danger from all men. The only maxim of a free government ought to be to trust no man living with power to endanger the public liberty.  - John Adams
The right of a nation to kill a tyrant in case of necessity can no more be doubted than to hang a robber or kill a flea.  - John Adams
Those who trade liberty for security have neither.  - John Adams
"It does not require a majority to prevail, but rather an irate, tireless minority keen to set brush fires in people's minds.  - Samuel Adams"
"We all live under the same sky, but we don't have the same horizon.  - Konrad Adenauer"
All endings are also beginnings.  We just don’t know it at the time.  - Mitch Albom
